iter	Passed	Remaining
415	2848	3998
416	2853	3989
417	2857	3978
418	2863	3970
419	2867	3960
420	2872	3950
421	2878	3942
422	2883	3933
423	2888	3924
424	2893	3915
425	2898	3904
426	2902	3895
427	2907	3885
428	2912	3876
429	2917	3866
430	2922	3857
431	2926	3848
432	2932	3839
433	2936	3829
434	2941	3820
435	2946	3812
436	2953	3805
437	2958	3796
438	2964	3788
439	2968	3778
440	2975	3771
441	2979	3761
442	2984	3752
443	2990	3744
444	2995	3735
445	3000	3726
446	3005	3717
447	3010	3709
448	3022	3709
449	3030	3704
450	3042	3703
451	3047	3695
452	3052	3685
453	3057	3677
454	3062	3668
455	3067	3659
456	3073	3651
457	3077	3642
458	3083	3634
459	3090	3628
460	3096	3620
461	3100	3610
462	3105	3601
463	3110	3592
464	3118	3587
465	3122	3578
466	3126	3568
467	3131	3560
468	3136	3551
469	3144	3545
470	3149	3537
471	3153	3527
472	3159	3520
473	3165	3512
474	3169	3503
475	3176	3497
476	3181	3488
477	3186	3480
478	3191	3471
479	3196	3462
480	3201	3454
481	3206	3445
482	3211	3437
483	3215	3428
484	3223	3423
485	3234	3421
486	3239	3412
487	3244	3404
488	3250	3396
489	3256	3389
490	3261	3381
491	3267	3374
492	3273	3366
493	3278	3358
494	3285	3351
495	3290	3343
496	3296	3335
497	3302	3329
498	3308	3321
499	3315	3315
500	3320	3307
501	3326	3300
502	3331	3291
503	3337	3284
504	3342	3276
505	3347	3267
506	3352	3259
507	3358	3252
508	3363	3244
509	3368	3236
510	3373	3227
511	3377	3219
512	3383	3211
513	3387	3203
514	3392	3195
515	3398	3187
516	3404	3180
517	3409	3172
518	3415	3165
519	3420	3157
520	3429	3152
521	3434	3144
522	3439	3136
523	3444	3129
524	3450	3121
525	3455	3113
526	3460	3105
527	3466	3098
528	3471	3090
529	3476	3082
530	3480	3074
531	3487	3067
532	3492	3059
533	3497	3051
534	3502	3043
535	3508	3037
536	3513	3029
537	3518	3021
538	3523	3013
539	3529	3006
540	3535	2999
541	3540	2991
542	3545	2984
543	3550	2976
544	3556	2968
545	3562	2962
546	3567	2954
547	3574	2948
548	3582	2942
549	3591	2938
550	3597	2931
551	3602	2923
552	3607	2915
553	3612	2908
554	3618	2901
555	3623	2893
556	3628	2885
557	3634	2879
558	3639	2871
559	3644	2863
560	3650	2856
561	3655	2849
562	3661	2842
563	3666	2834
564	3670	2825
565	3677	2819
566	3682	2811
567	3691	2807
568	3696	2800
569	3703	2793
570	3709	2786
571	3714	2779
572	3719	2771
573	3725	2765
574	3732	2758
575	3737	2751
576	3747	2747
577	3752	2739
578	3758	2732
579	3763	2725
580	3775	2722
581	3791	2722
582	3798	2716
583	3807	2711
584	3811	2703
585	3818	2698
586	3824	2690
587	3832	2685
588	3838	2678
589	3847	2674
590	3853	2666
591	3862	2661
592	3867	2654
593	3876	2649
594	3881	2641
595	3887	2634
596	3894	2628
597	3903	2623
598	3911	2618
599	3920	2613
600	3932	2610
601	3936	2602
602	3943	2596
603	3948	2589
604	3957	2583
605	3966	2579
606	3976	2574
607	3980	2566
608	3988	2560
609	3993	2553
610	3999	2546
611	4004	2538
612	4008	2530
613	4013	2523
614	4019	2516
615	4025	2509
616	4032	2502
617	4036	2494
618	4040	2487
619	4045	2479
620	4051	2472
621	4058	2466
622	4065	2459
623	4069	2452
624	4075	2445
625	4080	2437
626	4085	2430
627	4089	2422
628	4095	2415
629	4101	2408
630	4106	2401
631	4111	2394
632	4123	2391
633	4133	2386
634	4141	2380
635	4150	2375
636	4156	2368
637	4161	2361
638	4166	2353
639	4171	2346
640	4176	2339
641	4182	2332
642	4187	2324
643	4192	2317
644	4199	2311
645	4206	2304
646	4213	2298
647	4220	2292
648	4224	2284
649	4230	2277
650	4235	2270
651	4240	2263
652	4245	2255
653	4250	2248
654	4256	2241
655	4262	2234
656	4267	2228
657	4281	2225
658	4288	2218
659	4296	2213
660	4302	2206
661	4306	2198
662	4312	2191
663	4316	2184
664	4323	2177
665	4329	2171
666	4333	2163
667	4339	2156
668	4344	2149
669	4352	2143
670	4357	2136
671	4361	2128
672	4368	2122
673	4374	2116
674	4386	2111
675	4392	2105
676	4397	2098
677	4402	2091
678	4411	2085
679	4417	2078
680	4422	2071
681	4428	2064
682	4433	2057
683	4440	2051
684	4445	2044
685	4452	2037
686	4457	2030
687	4463	2024
688	4469	2017
689	4478	2011
690	4484	2005
691	4493	1999
692	4501	1993
693	4509	1988
694	4516	1982
695	4535	1981
696	4547	1976
697	4555	1970
698	4565	1965
699	4572	1959
700	4586	1956
701	4593	1949
702	4600	1943
703	4605	1936
704	4610	1929
705	4620	1924
706	4625	1917
707	4632	1910
708	4639	1904
709	4646	1897
710	4652	1891
711	4661	1885
712	4668	1879
713	4673	1872
714	4680	1865
715	4686	1858
716	4692	1852
717	4699	1845
718	4704	1838
719	4709	1831
720	4715	1824
721	4720	1817
722	4726	1810
723	4731	1803
724	4736	1796
725	4742	1789
726	4748	1783
727	4753	1776
728	4758	1768
729	4767	1763
730	4772	1756
731	4778	1749
732	4787	1743
733	4793	1736
734	4800	1730
735	4807	1724
736	4816	1718
737	4823	1712
738	4829	1705
739	4834	1698
740	4839	1691
741	4846	1685
742	4852	1678
743	4857	1671
744	4863	1664
745	4869	1658
746	4876	1651
747	4883	1645
748	4889	1638
749	4894	1631
750	4899	1624
751	4904	1617
752	4911	1611
753	4917	1604
754	4922	1597
755	4930	1591
756	4936	1584
757	4942	1577
758	4948	1571
759	4955	1564
760	4960	1558
761	4966	1551
762	4975	1545
763	4986	1540
764	4994	1534
765	5000	1527
766	5005	1520
767	5010	1513
768	5016	1506
769	5021	1499
770	5029	1493
771	5036	1487
772	5045	1481
773	5051	1474
774	5056	1468
775	5062	1461
776	5067	1454
777	5072	1447
778	5077	1440
779	5085	1434
780	5091	1427
781	5099	1421
782	5105	1414
783	5110	1407
784	5116	1401
785	5120	1394
786	5126	1387
787	5131	1380
788	5135	1373
789	5140	1366
790	5146	1359
791	5151	1352
792	5158	1346
793	5162	1339
794	5168	1332
795	5173	1325
796	5180	1319
797	5186	1312
798	5190	1305
799	5197	1299
800	5202	1292
801	5216	1287
802	5225	1281
803	5232	1275
804	5237	1268
805	5243	1262
806	5248	1255
807	5254	1248
808	5259	1241
809	5265	1235
810	5270	1228
811	5276	1221
812	5282	1214
813	5286	1208
814	5291	1201
815	5298	1194
816	5304	1188
817	5309	1181
818	5314	1174
819	5320	1167
820	5325	1160
821	5330	1154
822	5336	1147
823	5342	1141
824	5348	1134
825	5354	1127
826	5359	1121
827	5368	1115
828	5373	1108
829	5383	1102
830	5388	1095
831	5395	1089
832	5399	1082
833	5405	1076
834	5412	1069
835	5426	1064
836	5431	1057
837	5436	1050
838	5441	1044
839	5446	1037
840	5451	1030
841	5456	1023
842	5462	1017
843	5468	1010
844	5473	1003
845	5478	997
846	5485	990
847	5492	984
848	5500	978
849	5508	972
850	5512	965
851	5520	958
852	5526	952
853	5531	945
854	5538	939
855	5543	932
856	5550	926
857	5555	919
858	5561	912
859	5566	906
860	5570	899
861	5577	892
862	5581	886
863	5586	879
864	5593	873
865	5597	866
866	5602	859
867	5607	852
868	5611	845
869	5618	839
870	5623	832
871	5628	826
872	5633	819
873	5638	812
874	5642	806
875	5647	799
876	5652	792
877	5661	786
878	5666	780
879	5673	773
880	5677	766
881	5682	760
882	5688	753
883	5693	747
884	5698	740
885	5704	733
886	5709	727
887	5716	721
888	5722	714
889	5728	707
890	5733	701
891	5738	694
892	5743	688
893	5747	681
894	5752	674
895	5757	668
896	5762	661
897	5766	655
898	5772	648
899	5778	642
900	5782	635
901	5787	628
902	5791	622
903	5796	615
904	5800	608
905	5806	602
906	5811	595
907	5816	589
908	5821	582
909	5826	576
910	5831	569
911	5835	563
912	5840	556
913	5845	550
914	5857	544
915	5862	537
916	5867	531
917	5872	524
918	5877	518
919	5884	511
920	5891	505
921	5898	498
922	5902	492
923	5907	485
924	5912	479
925	5916	472
926	5920	466
927	5929	460
928	5934	453
929	5940	447
930	5945	440
931	5950	434
932	5956	427
933	5962	421
934	5970	415
935	5977	408
936	5983	402
937	5992	396
938	6003	389
939	6008	383
940	6014	377
941	6020	370
942	6030	364
943	6036	358
944	6043	351
945	6048	345
946	6054	338
947	6061	332
948	6066	326
949	6071	319
950	6076	313
951	6082	306
952	6086	300
953	6090	293
954	6095	287
955	6102	280
956	6113	274
957	6118	268
958	6124	261
959	6129	255
960	6134	248
961	6143	242
962	6149	236
963	6154	229
964	6159	223
965	6164	216
966	6170	210
967	6174	204
968	6180	197
969	6184	191
970	6189	184
971	6196	178
972	6201	172
973	6212	165
974	6217	159
975	6223	153
976	6229	146
977	6239	140
978	6245	133
979	6252	127
980	6258	121
981	6265	114
982	6271	108
983	6277	102
984	6281	95
985	6290	89
986	6301	83
987	6308	76
988	6314	70
989	6320	63
990	6325	57
991	6332	51
992	6341	44
993	6347	38
994	6355	31
995	6360	25
996	6365	19
997	6369	12
998	6373	6
999	6378	0
